"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L4376","IndexProviderTest.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/indexing/IndexProviderTest.java","L4375","31","0","652","1","6","73","1615","0"
"L7317","KCVSLogTest.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/log/KCVSLogTest.java","L7316","1","0","34","0","3","15","1077","0"
"L7318","LogTest.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/log/LogTest.java","L7316","16","0","265","1","3","36","53","0"
"L8537","TestLockerManager.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/util/TestLockerManager.java","L8536","2","0","32","0","2","6","1615","0"
"L8538","TestTimeUtility.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/util/TestTimeUtility.java","L8536","3","0","18","0","2","13","1077","0"
"L11374","KCVSCacheTest.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/cache/KCVSCacheTest.java","L11373","12","0","180","0","3","7","53","0"
"L24895","SpecialInt.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/serializer/SpecialInt.java","L24894","1","0","11","0","1","1","1077","0"
"L24896","SpecialIntSerializer.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/serializer/SpecialIntSerializer.java","L24894","1","0","21","0","3","9","1077","0"
"L35762","GraphGenerator.java","titan-test/src/main/java/com/thinkaurelius/titan/testutil/gen/GraphGenerator.java","L35761","8","0","121","0","2","12","1077","0"
"L35763","Schema.java","titan-test/src/main/java/com/thinkaurelius/titan/testutil/gen/Schema.java","L35761","6","0","175","0","3","19","1615","0"
"L36101","AbstractGenerator.java","titan-test/src/main/java/com/tinkerpop/furnace/alpha/generators/AbstractGenerator.java","L36100","5","0","42","0","2","3","1077","0"
"L36102","CommunityGenerator.java","titan-test/src/main/java/com/tinkerpop/furnace/alpha/generators/CommunityGenerator.java","L36100","23","0","96","0","2","3","1077","0"
"L36103","CopyDistribution.java","titan-test/src/main/java/com/tinkerpop/furnace/alpha/generators/CopyDistribution.java","L36100","1","0","16","0","2","3","1077","0"
"L36104","Distribution.java","titan-test/src/main/java/com/tinkerpop/furnace/alpha/generators/Distribution.java","L36100","1","0","7","0","2","3","1077","0"
"L36105","DistributionGenerator.java","titan-test/src/main/java/com/tinkerpop/furnace/alpha/generators/DistributionGenerator.java","L36100","14","0","80","0","2","3","1077","0"
"L36106","EdgeAnnotator.java","titan-test/src/main/java/com/tinkerpop/furnace/alpha/generators/EdgeAnnotator.java","L36100","1","0","10","0","2","3","1077","0"
"L36107","NormalDistribution.java","titan-test/src/main/java/com/tinkerpop/furnace/alpha/generators/NormalDistribution.java","L36100","4","0","29","0","2","3","1077","0"
"L36108","PowerLawDistribution.java","titan-test/src/main/java/com/tinkerpop/furnace/alpha/generators/PowerLawDistribution.java","L36100","4","0","33","0","2","3","1077","0"
"L36109","SizableIterable.java","titan-test/src/main/java/com/tinkerpop/furnace/alpha/generators/SizableIterable.java","L36100","6","0","35","0","2","3","1077","0"
"L36110","VertexAnnotator.java","titan-test/src/main/java/com/tinkerpop/furnace/alpha/generators/VertexAnnotator.java","L36100","2","0","20","0","2","3","1077","0"
"L12187","InMemoryBlueprintsTest.java","titan-test/src/test/java/com/thinkaurelius/titan/blueprints/InMemoryBlueprintsTest.java","L12186","1","0","37","0","4","11","53","0"
"L12384","TestCoreElements.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/TestCoreElements.java","L12383","1","0","30","0","2","2","1615","0"
"L12385","TitanFactoryShorthandTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/TitanFactoryShorthandTest.java","L12383","1","0","11","1","2","2","1077","0"
"L12386","VertexListTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/VertexListTest.java","L12383","6","0","50","1","2","3","1615","0"
"L28416","LongEncodingTest.java","titan-test/src/test/java/com/thinkaurelius/titan/util/LongEncodingTest.java","L28415","4","0","28","0","1","4","1077","0"
"L28417","StringEncodingTest.java","titan-test/src/test/java/com/thinkaurelius/titan/util/StringEncodingTest.java","L28415","5","0","31","0","1","1","1077","0"
"L35674","ObjectSizer.java","titan-test/src/test/java/com/thinkaurelius/titan/testutil/ObjectSizer.java","L35673","10","0","153","0","2","12","1077","0"
"L3161","CommonConfigTest.java","titan-test/src/test/java/com/thinkaurelius/titan/diskstorage/configuration/CommonConfigTest.java","L3160","3","0","33","0","2","5","1077","0"
"L3162","ConfigurationTest.java","titan-test/src/test/java/com/thinkaurelius/titan/diskstorage/configuration/ConfigurationTest.java","L3160","8","0","127","0","2","14","1077","0"
"L3163","KCVSConfigTest.java","titan-test/src/test/java/com/thinkaurelius/titan/diskstorage/configuration/KCVSConfigTest.java","L3160","2","0","29","0","4","17","53","0"
"L5091","StaticArrayEntryTest.java","titan-test/src/test/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/StaticArrayEntryTest.java","L5090","26","0","294","0","3","14","1077","0"
"L6404","ConsistentKeyLockerTest.java","titan-test/src/test/java/com/thinkaurelius/titan/diskstorage/locking/ConsistentKeyLockerTest.java","L6403","17","0","701","0","4","50","1615","0"
"L6405","LocalLockMediatorTest.java","titan-test/src/test/java/com/thinkaurelius/titan/diskstorage/locking/LocalLockMediatorTest.java","L6403","1","0","31","0","2","17","1077","0"
"L6406","LockCleanerRunnableTest.java","titan-test/src/test/java/com/thinkaurelius/titan/diskstorage/locking/LockCleanerRunnableTest.java","L6403","3","0","124","0","3","7","53","0"
"L6407","LockCleanerServiceTest.java","titan-test/src/test/java/com/thinkaurelius/titan/diskstorage/locking/LockCleanerServiceTest.java","L6403","4","0","68","0","1","1","1615","0"
"L8540","BufferUtilTest.java","titan-test/src/test/java/com/thinkaurelius/titan/diskstorage/util/BufferUtilTest.java","L8539","7","0","71","0","1","2","1077","0"
"L8541","StorageFeaturesTest.java","titan-test/src/test/java/com/thinkaurelius/titan/diskstorage/util/StorageFeaturesTest.java","L8539","1","0","27","0","2","12","1077","0"
"L11376","ExpirationCacheTest.java","titan-test/src/test/java/com/thinkaurelius/titan/diskstorage/cache/ExpirationCacheTest.java","L11375","2","0","113","0","2","3","1615","0"
"L12134","InMemoryIDAuthorityTest.java","titan-test/src/test/java/com/thinkaurelius/titan/diskstorage/inmemory/InMemoryIDAuthorityTest.java","L12133","1","0","17","0","4","8","53","0"
"L12135","InMemoryKeyColumnValueStoreTest.java","titan-test/src/test/java/com/thinkaurelius/titan/diskstorage/inmemory/InMemoryKeyColumnValueStoreTest.java","L12133","1","0","14","0","3","6","53","0"
"L12136","InMemoryLockKeyColumnValueStoreTest.java","titan-test/src/test/java/com/thinkaurelius/titan/diskstorage/inmemory/InMemoryLockKeyColumnValueStoreTest.java","L12133","1","0","14","0","3","8","53","0"
"L13006","GraphDatabaseConfigurationTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/configuration/GraphDatabaseConfigurationTest.java","L13005","1","0","12","0","2","3","1615","0"
"L18332","IDManagementTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/idmanagement/IDManagementTest.java","L18331","32","0","274","0","3","23","1615","0"
"L18333","IDPoolTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/idmanagement/IDPoolTest.java","L18331","15","0","128","0","2","22","1077","0"
"L18334","MockIDAuthority.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/idmanagement/MockIDAuthority.java","L18331","9","0","100","0","3","33","53","0"
"L18335","RidGenerationTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/idmanagement/RidGenerationTest.java","L18331","4","0","42","0","1","3","1077","0"
"L18336","VariableLongTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/idmanagement/VariableLongTest.java","L18331","17","0","236","0","2","11","1615","0"
"L18337","VertexIDAssignerTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/idmanagement/VertexIDAssignerTest.java","L18331","14","0","98","0","2","49","1615","0"
"L19577","QueryTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/query/QueryTest.java","L19576","6","0","72","0","2","3","1615","0"
"L24898","EdgeSerializerTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/serializer/EdgeSerializerTest.java","L24897","3","0","34","0","2","8","1077","0"
"L24899","KryoTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/serializer/KryoTest.java","L24897","1","0","87","0","2","5","1077","0"
"L24900","NoDefaultConstructor.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/serializer/NoDefaultConstructor.java","L24897","1","0","7","0","1","2","1077","0"
"L24901","SerializerGraphConfiguration.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/serializer/SerializerGraphConfiguration.java","L24897","2","0","52","1","2","3","1615","0"
"L24902","SerializerSpeedTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/serializer/SerializerSpeedTest.java","L24897","3","0","26","0","3","3","1077","0"
"L24903","SerializerTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/serializer/SerializerTest.java","L24897","48","0","459","1","4","37","1077","0"
"L24904","SerializerTestCommon.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/serializer/SerializerTestCommon.java","L24897","8","0","64","0","3","3","1077","0"
"L24907","TestTransientClass.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/serializer/TestTransientClass.java","L24897","4","0","16","0","2","4","1077","0"
"L26306","GeoshapeTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/attribute/GeoshapeTest.java","L26305","2","0","38","0","1","4","1077","0"
"L26307","TextTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/attribute/TextTest.java","L26305","1","0","50","0","2","8","1615","0"
"L26318","InMemoryGraphTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/inmemory/InMemoryGraphTest.java","L26317","2","0","63","1","3","21","1615","0"
"L26319","InMemoryOLAPTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/inmemory/InMemoryOLAPTest.java","L26317","2","0","19","0","2","2","1615","0"
"L26320","InMemoryPartitionGraphTest.java","titan-test/src/test/java/com/thinkaurelius/titan/graphdb/inmemory/InMemoryPartitionGraphTest.java","L26317","1","0","26","0","2","3","1615","0"
"L28443","RelationCacheTest.java","titan-test/src/test/java/com/thinkaurelius/titan/util/datastructures/RelationCacheTest.java","L28440","10","0","63","0","2","5","1077","0"
"L29322","IntervalTest.java","titan-test/src/test/java/com/thinkaurelius/titan/util/interval/IntervalTest.java","L29321","1","0","3","0","1","1","1077","0"
"L153","Backend.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/Backend.java","L152","45","0","494","5","6","184","1077","0"
"L154","BackendException.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/BackendException.java","L152","1","0","13","0","3","5","53","0"
"L155","BackendTransaction.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/BackendTransaction.java","L152","23","0","305","0","4","69","142","0"
"L156","BaseTransaction.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/BaseTransaction.java","L152","1","0","5","0","4","10","53","0"
"L157","BaseTransactionConfig.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/BaseTransactionConfig.java","L152","1","0","14","0","4","5","142","0"
"L158","BaseTransactionConfigurable.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/BaseTransactionConfigurable.java","L152","1","0","4","0","4","5","142","0"
"L159","Entry.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/Entry.java","L152","1","0","12","0","3","11","1077","0"
"L160","EntryList.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/EntryList.java","L152","1","0","27","0","3","3","53","0"
"L161","EntryMetaData.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/EntryMetaData.java","L152","12","0","56","0","3","11","1077","0"
"L162","IDAuthority.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/IDAuthority.java","L152","1","0","14","0","3","36","53","0"
"L163","IDBlock.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/IDBlock.java","L152","1","0","5","0","3","4","53","0"
"L164","LoggableTransaction.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/LoggableTransaction.java","L152","1","0","5","0","4","8","142","0"
"L165","MetaAnnotatable.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/MetaAnnotatable.java","L152","1","0","4","0","2","3","1077","0"
"L166","MetaAnnotated.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/MetaAnnotated.java","L152","1","0","6","0","2","3","53","0"
"L167","Mutation.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/Mutation.java","L152","19","0","79","0","3","18","53","0"
"L168","PermanentBackendException.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/PermanentBackendException.java","L152","1","0","13","0","3","5","53","0"
"L169","ReadBuffer.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/ReadBuffer.java","L152","1","0","8","0","3","17","53","0"
"L170","ResourceUnavailableException.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/ResourceUnavailableException.java","L152","6","0","33","0","2","2","1615","0"
"L171","ScanBuffer.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/ScanBuffer.java","L152","1","0","19","0","3","9","53","0"
"L172","StandardIndexProvider.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/StandardIndexProvider.java","L152","1","0","48","1","2","2","1077","0"
"L173","StandardStoreManager.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/StandardStoreManager.java","L152","1","0","48","2","2","3","1077","0"
"L174","StaticBuffer.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/StaticBuffer.java","L152","3","0","49","0","3","13","53","0"
"L175","TemporaryBackendException.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/TemporaryBackendException.java","L152","1","0","13","0","3","5","53","0"
"L176","WriteBuffer.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/WriteBuffer.java","L152","1","0","16","0","3","15","53","0"
"L26447","BaseVertexQuery.java","titan-core/src/main/java/com/thinkaurelius/titan/core/BaseVertexQuery.java","L26446","1","0","25","0","4","19","53","0"
"L26448","Cardinality.java","titan-core/src/main/java/com/thinkaurelius/titan/core/Cardinality.java","L26446","1","0","6","0","2","3","53","0"
"L26449","EdgeLabel.java","titan-core/src/main/java/com/thinkaurelius/titan/core/EdgeLabel.java","L26446","1","0","6","0","3","5","53","0"
"L26450","Idfiable.java","titan-core/src/main/java/com/thinkaurelius/titan/core/Idfiable.java","L26446","1","0","4","0","4","6","142","0"
"L26451","InvalidElementException.java","titan-core/src/main/java/com/thinkaurelius/titan/core/InvalidElementException.java","L26446","1","0","18","0","2","3","53","0"
"L26452","InvalidIDException.java","titan-core/src/main/java/com/thinkaurelius/titan/core/InvalidIDException.java","L26446","1","0","12","0","1","1","1615","0"
"L26453","Multiplicity.java","titan-core/src/main/java/com/thinkaurelius/titan/core/Multiplicity.java","L26446","15","0","47","0","4","11","142","0"
"L26454","Namifiable.java","titan-core/src/main/java/com/thinkaurelius/titan/core/Namifiable.java","L26446","1","0","4","0","3","5","53","0"
"L26455","Order.java","titan-core/src/main/java/com/thinkaurelius/titan/core/Order.java","L26446","3","0","16","0","3","11","53","0"
"L26456","PropertyKey.java","titan-core/src/main/java/com/thinkaurelius/titan/core/PropertyKey.java","L26446","1","0","5","0","3","6","53","0"
"L26457","QueryDescription.java","titan-core/src/main/java/com/thinkaurelius/titan/core/QueryDescription.java","L26446","1","0","13","0","3","5","53","0"
"L26458","QueryException.java","titan-core/src/main/java/com/thinkaurelius/titan/core/QueryException.java","L26446","1","0","13","0","3","4","53","0"
"L26459","RelationType.java","titan-core/src/main/java/com/thinkaurelius/titan/core/RelationType.java","L26446","1","0","6","0","3","8","1077","0"
"L26460","SchemaViolationException.java","titan-core/src/main/java/com/thinkaurelius/titan/core/SchemaViolationException.java","L26446","1","0","9","0","1","1","1077","0"
"L26461","Titan.java","titan-core/src/main/java/com/thinkaurelius/titan/core/Titan.java","L26446","1","0","7","0","4","17","1077","0"
"L26462","TitanConfigurationException.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanConfigurationException.java","L26446","1","0","13","0","1","2","1077","0"
"L26463","TitanEdge.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanEdge.java","L26446","1","0","10","0","3","7","53","0"
"L26464","TitanElement.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanElement.java","L26446","1","0","18","0","4","23","1077","0"
"L26465","TitanException.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanException.java","L26446","1","0","17","0","1","1","1077","0"
"L26466","TitanFactory.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanFactory.java","L26446","16","0","148","2","4","50","1077","0"
"L26467","TitanGraph.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanGraph.java","L26446","1","0","17","0","4","35","1077","0"
"L26468","TitanGraphQuery.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanGraphQuery.java","L26446","1","0","34","0","4","31","53","0"
"L26469","TitanGraphTransaction.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanGraphTransaction.java","L26446","1","0","18","0","1","2","1077","0"
"L26470","TitanIndexQuery.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanIndexQuery.java","L26446","1","0","20","0","3","17","1615","0"
"L26471","TitanMultiVertexQuery.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanMultiVertexQuery.java","L26446","1","0","49","0","3","17","53","0"
"L26472","TitanProperty.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanProperty.java","L26446","1","0","6","0","3","10","53","0"
"L26473","TitanRelation.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanRelation.java","L26446","1","0","12","0","3","11","53","0"
"L26474","TitanTransaction.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanTransaction.java","L26446","1","0","19","1","4","51","1077","0"
"L26475","TitanVertex.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanVertex.java","L26446","1","0","24","0","3","8","53","0"
"L26476","TitanVertexQuery.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TitanVertexQuery.java","L26446","1","0","48","0","3","21","53","0"
"L26477","TransactionBuilder.java","titan-core/src/main/java/com/thinkaurelius/titan/core/TransactionBuilder.java","L26446","1","0","19","0","4","45","1615","0"
"L26478","VertexLabel.java","titan-core/src/main/java/com/thinkaurelius/titan/core/VertexLabel.java","L26446","1","0","6","0","3","6","53","0"
"L26479","VertexList.java","titan-core/src/main/java/com/thinkaurelius/titan/core/VertexList.java","L26446","1","0","11","0","3","7","53","0"
"L28345","GraphOfTheGodsFactory.java","titan-core/src/main/java/com/thinkaurelius/titan/example/GraphOfTheGodsFactory.java","L28344","3","0","107","2","5","33","1615","0"
"L2974","AbstractStoreManager.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/common/AbstractStoreManager.java","L2973","9","0","40","0","4","15","1077","0"
"L2975","AbstractStoreTransaction.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/common/AbstractStoreTransaction.java","L2973","1","0","22","0","4","26","53","0"
"L2976","DistributedStoreManager.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/common/DistributedStoreManager.java","L2973","4","0","104","0","4","59","142","0"
"L2977","LocalStoreManager.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/common/LocalStoreManager.java","L2973","2","0","18","0","4","15","53","0"
"L2978","NoOpStoreTransaction.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/common/NoOpStoreTransaction.java","L2973","1","0","7","0","4","13","142","0"
"L3137","AbstractConfiguration.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/AbstractConfiguration.java","L3136","10","0","94","0","3","7","53","0"
"L3138","BasicConfiguration.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/BasicConfiguration.java","L3136","8","0","86","0","4","7","1615","0"
"L3139","ConcurrentWriteConfiguration.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/ConcurrentWriteConfiguration.java","L3136","1","0","4","0","2","3","53","0"
"L3140","ConfigElement.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/ConfigElement.java","L3136","26","0","155","0","4","17","1077","0"
"L3141","ConfigNamespace.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/ConfigNamespace.java","L3136","5","0","51","0","3","9","1077","0"
"L3142","ConfigOption.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/ConfigOption.java","L3136","17","0","148","0","4","19","1615","0"
"L3143","Configuration.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/Configuration.java","L3136","1","0","34","0","3","7","53","0"
"L3144","MergedConfiguration.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/MergedConfiguration.java","L3136","6","0","51","1","3","6","1615","0"
"L3145","MixedConfiguration.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/MixedConfiguration.java","L3136","10","0","60","0","2","3","53","0"
"L3146","ModifiableConfiguration.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/ModifiableConfiguration.java","L3136","5","0","40","0","4","6","1615","0"
"L3147","ReadConfiguration.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/ReadConfiguration.java","L3136","1","0","20","0","2","2","53","0"
"L3148","SystemConfiguration.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/SystemConfiguration.java","L3136","1","0","5","0","3","5","53","0"
"L3149","TransactionalConfiguration.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/TransactionalConfiguration.java","L3136","7","0","88","0","2","3","53","0"
"L3150","UserModifiableConfiguration.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/UserModifiableConfiguration.java","L3136","29","0","125","0","3","15","1077","0"
"L3151","WriteConfiguration.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/WriteConfiguration.java","L3136","1","0","6","0","2","5","53","0"
"L4229","AbstractIDAuthority.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/idmanagement/AbstractIDAuthority.java","L4228","2","0","56","0","3","4","142","0"
"L4230","ConflictAvoidanceMode.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/idmanagement/ConflictAvoidanceMode.java","L4228","1","0","7","0","3","4","142","0"
"L4231","ConsistentKeyIDAuthority.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/idmanagement/ConsistentKeyIDAuthority.java","L4228","35","0","311","0","4","12","53","0"
"L4365","IndexEntry.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/indexing/IndexEntry.java","L4364","5","0","40","0","4","12","1077","0"
"L4366","IndexFeatures.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/indexing/IndexFeatures.java","L4364","4","0","52","0","2","6","1615","0"
"L4367","IndexInformation.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/indexing/IndexInformation.java","L4364","1","0","8","0","2","17","1615","0"
"L4368","IndexMutation.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/indexing/IndexMutation.java","L4364","10","0","74","0","4","14","1615","0"
"L4369","IndexProvider.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/indexing/IndexProvider.java","L4364","1","0","17","0","4","30","53","0"
"L4370","IndexQuery.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/indexing/IndexQuery.java","L4364","13","0","116","0","4","24","53","0"
"L4371","IndexTransaction.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/indexing/IndexTransaction.java","L4364","16","0","123","0","4","52","142","0"
"L4372","KeyInformation.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/indexing/KeyInformation.java","L4364","1","0","18","0","4","17","142","0"
"L4373","RawQuery.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/indexing/RawQuery.java","L4364","1","0","56","0","3","11","1077","0"
"L4374","StandardKeyInformation.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/indexing/StandardKeyInformation.java","L4364","1","0","34","0","3","11","1077","0"
"L5072","ConsistencyLevel.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/ConsistencyLevel.java","L5071","4","0","16","0","1","6","1077","0"
"L5073","CustomizeStoreKCVSManager.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/CustomizeStoreKCVSManager.java","L5071","1","0","5","0","2","3","1077","0"
"L5074","KCVMutation.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/KCVMutation.java","L5071","1","0","20","0","3","11","1615","0"
"L5075","KCVSManagerProxy.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/KCVSManagerProxy.java","L5071","1","0","47","0","2","3","1077","0"
"L5076","KCVSProxy.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/KCVSProxy.java","L5071","1","0","52","0","2","3","1077","0"
"L5077","KCVSUtil.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/KCVSUtil.java","L5071","10","0","58","0","3","29","53","0"
"L5078","KeyColumnValueStore.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/KeyColumnValueStore.java","L5071","1","0","20","0","4","45","53","0"
"L5079","KeyColumnValueStoreManager.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/KeyColumnValueStoreManager.java","L5071","1","0","8","0","3","12","53","0"
"L5080","KeyIterator.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/KeyIterator.java","L5071","1","0","7","0","3","10","53","0"
"L5081","KeyRange.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/KeyRange.java","L5071","3","0","27","0","4","7","1077","0"
"L5082","KeyRangeQuery.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/KeyRangeQuery.java","L5071","8","0","61","1","4","19","53","0"
"L5083","KeySliceQuery.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/KeySliceQuery.java","L5071","6","0","48","1","4","17","53","0"
"L5084","ReadOnlyKeyColumnValueStore.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/ReadOnlyKeyColumnValueStore.java","L5071","1","0","21","0","4","30","1077","0"
"L5085","SliceQuery.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/SliceQuery.java","L5071","16","0","82","1","5","32","53","0"
"L5086","StandardStoreFeatures.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/StandardStoreFeatures.java","L5071","3","0","239","0","4","12","142","0"
"L5087","StoreFeatures.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/StoreFeatures.java","L5071","1","0","23","0","5","25","142","0"
"L5088","StoreManager.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/StoreManager.java","L5071","1","0","12","0","4","27","53","0"
"L5089","StoreTransaction.java","titan-core/src/main/java/com/thinkaurelius/titan/diskstorage/keycolumnvalue/StoreTransaction.java","L5071","1","0","5","0","4","15","142","0"
